,Volume m3,Ground Surface m2,Amount Buildings,Surface Build %,Surface Total,Inset 1,Inset 2,Inset 3,Inset 4,Inset 5,Inset 6,Inset 7,Inset 8,Inset 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Height 7,Height 8,Height 9,Roof 1,Roof 2,Roof 3,Roof 4,Roof 5,Roof 6,Roof 7,Roof 8,Roof 9,SL %,SVF %
1685,3709.89,386.84,6,24.2,2632.9,0.85,0.32,0.68,0.47,0.0,0.44,0.0,0.0,0.69,10.3,9.57,7.01,13.12,0.0,11.68,0.0,0.0,8.51,1,1,1,1,0,0,0,0,0,53.59,62.65
1686,1513.59,195.9,2,12.2,1048.88,0.0,0.0,0.0,0.0,0.78,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,7.26,0.0,8.3,0.0,0.0,0,0,0,0,1,0,1,0,0,82.32,82.57
1687,1535.0,212.17,4,13.3,1314.98,0.0,0.55,0.0,0.0,0.56,0.45,0.62,0.0,0.0,0.0,5.59,0.0,0.0,6.91,10.92,6.84,0.0,0.0,0,1,0,0,0,1,1,0,0,72.77,75.7
1688,426.26,30.73,1,1.9,375.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.87,0,0,0,0,0,0,0,0,1,96.63,94.2
1689,1233.28,118.3,3,7.4,1014.83,0.0,0.41,0.0,0.0,0.0,0.59,0.0,0.39,0.0,0.0,8.38,0.0,0.0,0.0,10.55,0.0,12.45,0.0,0,0,0,0,0,0,0,1,0,80.76,81.45
1690,5193.11,659.34,8,41.2,3718.52,0.0,0.62,0.83,0.34,0.6,0.73,0.77,0.82,0.59,0.0,12.41,3.26,12.58,3.86,10.57,11.16,4.86,10.88,0,0,1,0,1,0,1,0,0,51.2,50.47
1691,556.82,102.12,1,6.4,424.64,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,0.0,0.0,0,0,0,0,0,0,0,0,0,94.63,93.65
1692,58.09,21.29,1,1.3,92.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0,0,0,0,0,0,0,0,0,97.54,97.14
1693,974.8,101.15,1,6.3,590.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,88.87,92.16
1694,1246.95,140.69,3,8.8,1002.96,0.0,0.0,0.68,0.43,0.0,0.0,0.0,0.37,0.0,0.0,0.0,7.88,12.04,0.0,0.0,0.0,7.92,0.0,0,0,0,0,0,0,0,0,0,79.27,82.23
1695,5076.31,442.03,7,27.6,3414.21,0.45,0.64,0.59,0.8,0.61,0.0,0.4,0.6,0.0,12.84,12.09,11.91,11.34,11.91,0.0,5.57,12.09,0.0,1,0,0,1,1,0,0,1,0,47.34,55.53
1696,316.11,125.97,1,7.9,364.59,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,93.76,95.51
